TIME;ID;LINK;POSITION;DISTANCE;STATE;VEHICLE
06:37:00.00;U_M1004;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:37:00.00;U_M1000;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:37:00.00;U_B363;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:37:31.27;U_M1238;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:37:31.27;U_M561;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:37:31.27;U_B178;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:37:31.27;U_M8;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:37:31.27;U_M727;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:37:31.27;U_M169;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:37:31.27;U_M31;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:37:31.27;U_B213;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:37:31.27;U_B403;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:38:00.00;U_M881;METRO_S2 METRO_S4;2160.000 0.000;2160.000;INSIDE_VEHICLE;5
06:38:00.00;U_B196;METRO_S2 METRO_S4;2160.000 0.000;2160.000;INSIDE_VEHICLE;5
06:38:00.00;U_M503;METRO_S2 METRO_S4;2160.000 0.000;2160.000;INSIDE_VEHICLE;5
06:38:00.00;U_M1356;METRO_S2 METRO_S4;2160.000 0.000;2160.000;INSIDE_VEHICLE;5
06:38:00.00;U_B271;METRO_S2 METRO_S4;2160.000 0.000;2160.000;INSIDE_VEHICLE;5
06:38:00.00;U_M1354;METRO_S2 METRO_S4;2160.000 0.000;2160.000;INSIDE_VEHICLE;5
06:38:00.00;U_M1255;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:00.00;U_M948;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:00.00;U_M908;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:00.00;U_B488;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:00.00;U_B264;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:00.00;U_B452;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:00.00;U_M1087;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:00.00;U_M1210;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:00.00;U_M867;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:00.00;U_M1115;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:00.00;U_M374;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:38:31.27;U_M215;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:38:31.27;U_M190;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:38:31.27;U_M1278;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:38:31.27;U_B502;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:38:31.27;U_M1099;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:38:31.27;U_M404;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:38:10.91;U_M881;METRO_S2 METRO_S4;2700.000 0.000;2700.000;INSIDE_VEHICLE;5
06:38:10.91;U_B196;METRO_S2 METRO_S4;2700.000 0.000;2700.000;INSIDE_VEHICLE;5
06:38:10.91;U_M503;METRO_S2 METRO_S4;2700.000 0.000;2700.000;INSIDE_VEHICLE;5
06:38:10.91;U_M1356;METRO_S2 METRO_S4;2700.000 0.000;2700.000;INSIDE_VEHICLE;5
06:38:10.91;U_B271;METRO_S2 METRO_S4;2700.000 0.000;2700.000;INSIDE_VEHICLE;5
06:38:10.91;U_M1354;METRO_S2 METRO_S4;2700.000 0.000;2700.000;INSIDE_VEHICLE;5
06:39:00.00;U_B573;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_M234;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_M685;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_M305;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_B532;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_M1010;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_B51;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_M832;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_B154;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_M264;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_M1237;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:00.00;U_M256;ORIGIN_0 METRO_SO;0.000 0.000;0.000;WALKING;
06:39:31.27;U_B157;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:39:31.27;U_B364;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:39:31.27;U_M164;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:39:31.27;U_B60;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:39:31.27;U_M1143;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:39:31.27;U_M653;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:39:31.27;U_M96;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:39:31.27;U_M75;ORIGIN_0 METRO_SO;300.000 0.000;300.000;WALKING;
06:39:00.00;U_M881;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;STOP;
06:39:00.00;U_B196;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;STOP;
06:39:00.00;U_M503;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;STOP;
06:39:00.00;U_M1356;METRO_S4 DESTINATION_1;2700.000 0.000;2700.000;STOP;
