NODE,IS CONGESTED
BUSA_S1,0
BUSA_S2,0
BUSA_S3,0
BUSA_S4,0
BUSA_SO,0
BUSB_S3,2
BUSB_S5,0
BUSB_S6,0
BUSB_S7,2
METRO_S2,4
METRO_S4,2
METRO_SO,2
TRAM_S1,6
TRAM_S2,6
TRAM_S3,5
TRAM_S4,2
