NODE,IS CONGESTED
BUSA_S1,2
BUSA_S2,2
BUSA_S3,2
BUSA_S4,1
BUSA_SO,1
BUSB_S3,0
BUSB_S5,0
BUSB_S6,0
BUSB_S7,0
METRO_S2,6
METRO_S4,3
METRO_SO,3
TRAM_S1,6
TRAM_S2,6
TRAM_S3,6
TRAM_S4,6
