TIME;ID;TYPE;LINK;POSITION;SPEED;STATE;DISTANCE;PASSENGERS;TRAVELED_NODES
07:11:05.45;20;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_M809 U_M718 U_B220 U_M939 U_B587 U_B97 U_B934 U_B306 U_M325 U_M513 U_M621 U_M923 U_M186 U_B894 U_M643 U_B126 U_M476 U_M52 U_M592 U_M218 U_B532 U_M319 U_B781 U_M403 U_M142 U_B839 U_M827 U_M653 U_B124 U_M815 U_B928 U_B705 U_M648 U_B679 U_B524 U_M740 U_M155 U_M610 U_M655 U_M602 U_M732 U_B173 U_M90 U_B171 U_B91 U_M41 U_M387 U_B889 U_M365 U_M62 U_B470 U_M502 U_B979 U_B851 U_B610 U_B233 U_M492 U_B119 U_M249 U_B102 U_M963 U_M289 U_B33 U_M730 U_B715 U_M800 U_B502 U_B109 U_B106 U_B389;
07:12:05.45;20;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_M809 U_M718 U_B220 U_M939 U_B587 U_B97 U_B934 U_B306 U_M325 U_M513 U_M621 U_M923 U_M186 U_B894 U_M643 U_B126 U_M476 U_M52 U_M592 U_M218 U_B532 U_M319 U_B781 U_M403 U_M142 U_B839 U_M827 U_M653 U_B124 U_M815 U_B928 U_B705 U_M648 U_B679 U_B524 U_M740 U_M155 U_M610 U_M655 U_M602 U_M732 U_B173 U_M90 U_B171 U_B91 U_M41 U_M387 U_B889 U_M365 U_M62 U_B470 U_M502 U_B979 U_B851 U_B610 U_B233 U_M492 U_B119 U_M249 U_B102 U_M963 U_M289 U_B33 U_M730 U_B715 U_M800 U_B502 U_B109 U_B106 U_B389;
07:13:05.45;20;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_M809 U_M718 U_B220 U_M939 U_B587 U_B97 U_B934 U_B306 U_M325 U_M513 U_M621 U_M923 U_M186 U_B894 U_M643 U_B126 U_M476 U_M52 U_M592 U_M218 U_B532 U_M319 U_B781 U_M403 U_M142 U_B839 U_M827 U_M653 U_B124 U_M815 U_B928 U_B705 U_M648 U_B679 U_B524 U_M740 U_M155 U_M610 U_M655 U_M602 U_M732 U_B173 U_M90 U_B171 U_B91 U_M41 U_M387 U_B889 U_M365 U_M62 U_B470 U_M502 U_B979 U_B851 U_B610 U_B233 U_M492 U_B119 U_M249 U_B102 U_M963 U_M289 U_B33 U_M730 U_B715 U_M800 U_B502 U_B109 U_B106 U_B389;
07:20:05.45;23;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B728 U_M913 U_B825 U_B85 U_M139 U_M862 U_B549 U_M298 U_B439 U_M469 U_M574 U_M719 U_M51 U_B699 U_B903 U_B386 U_B270 U_M29 U_B158 U_M925 U_M780 U_M896 U_M549 U_M457 U_B54 U_B724 U_B837 U_B378 U_M152 U_M212 U_M808 U_M9 U_B849 U_B161 U_M123 U_B103 U_M898 U_B521 U_M278 U_B629 U_M368 U_M855 U_M239 U_B802 U_M140 U_B179 U_B186 U_M820 U_B132 U_B751 U_M388 U_M828 U_B488 U_B711 U_B904 U_B548 U_M324 U_B820 U_B293 U_B2 U_M415 U_B579 U_B956 U_M413 U_M356 U_B195 U_B271 U_B26 U_B379 U_M838;
07:21:05.45;23;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B728 U_M913 U_B825 U_B85 U_M139 U_M862 U_B549 U_M298 U_B439 U_M469 U_M574 U_M719 U_M51 U_B699 U_B903 U_B386 U_B270 U_M29 U_B158 U_M925 U_M780 U_M896 U_M549 U_M457 U_B54 U_B724 U_B837 U_B378 U_M152 U_M212 U_M808 U_M9 U_B849 U_B161 U_M123 U_B103 U_M898 U_B521 U_M278 U_B629 U_M368 U_M855 U_M239 U_B802 U_M140 U_B179 U_B186 U_M820 U_B132 U_B751 U_M388 U_M828 U_B488 U_B711 U_B904 U_B548 U_M324 U_B820 U_B293 U_B2 U_M415 U_B579 U_B956 U_M413 U_M356 U_B195 U_B271 U_B26 U_B379 U_M838;
07:22:05.45;23;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B728 U_M913 U_B825 U_B85 U_M139 U_M862 U_B549 U_M298 U_B439 U_M469 U_M574 U_M719 U_M51 U_B699 U_B903 U_B386 U_B270 U_M29 U_B158 U_M925 U_M780 U_M896 U_M549 U_M457 U_B54 U_B724 U_B837 U_B378 U_M152 U_M212 U_M808 U_M9 U_B849 U_B161 U_M123 U_B103 U_M898 U_B521 U_M278 U_B629 U_M368 U_M855 U_M239 U_B802 U_M140 U_B179 U_B186 U_M820 U_B132 U_B751 U_M388 U_M828 U_B488 U_B711 U_B904 U_B548 U_M324 U_B820 U_B293 U_B2 U_M415 U_B579 U_B956 U_M413 U_M356 U_B195 U_B271 U_B26 U_B379 U_M838;
07:23:05.45;23;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B728 U_M913 U_B825 U_B85 U_M139 U_M862 U_B549 U_M298 U_B439 U_M469 U_M574 U_M719 U_M51 U_B699 U_B903 U_B386 U_B270 U_M29 U_B158 U_M925 U_M780 U_M896 U_M549 U_M457 U_B54 U_B724 U_B837 U_B378 U_M152 U_M212 U_M808 U_M9 U_B849 U_B161 U_M123 U_B103 U_M898 U_B521 U_M278 U_B629 U_M368 U_M855 U_M239 U_B802 U_M140 U_B179 U_B186 U_M820 U_B132 U_B751 U_M388 U_M828 U_B488 U_B711 U_B904 U_B548 U_M324 U_B820 U_B293 U_B2 U_M415 U_B579 U_B956 U_M413 U_M356 U_B195 U_B271 U_B26 U_B379 U_M838;
07:30:05.45;28;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B263 U_M860 U_B137 U_B269 U_B933 U_B875 U_M519 U_B294 U_M455 U_B93 U_M975 U_B90 U_B955 U_B991 U_M525 U_B366 U_M305 U_B646 U_M292 U_M306 U_B588 U_M54 U_B817 U_M901 U_M587 U_B160 U_M106 U_M322 U_B468 U_B227 U_B168 U_B260 U_M164 U_B941 U_B517 U_B280 U_M312 U_M930 U_M472 U_M903 U_M101 U_B479 U_B444 U_M416 U_M932 U_B64 U_B96 U_B374 U_M122 U_B911 U_B733 U_B764 U_M28 U_B30 U_B571 U_M131 U_B393 U_M935 U_M825 U_M659 U_B438 U_M75 U_B465 U_B716 U_B135 U_M195 U_B120 U_M412 U_B300 U_B259;
07:31:05.45;28;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B263 U_M860 U_B137 U_B269 U_B933 U_B875 U_M519 U_B294 U_M455 U_B93 U_M975 U_B90 U_B955 U_B991 U_M525 U_B366 U_M305 U_B646 U_M292 U_M306 U_B588 U_M54 U_B817 U_M901 U_M587 U_B160 U_M106 U_M322 U_B468 U_B227 U_B168 U_B260 U_M164 U_B941 U_B517 U_B280 U_M312 U_M930 U_M472 U_M903 U_M101 U_B479 U_B444 U_M416 U_M932 U_B64 U_B96 U_B374 U_M122 U_B911 U_B733 U_B764 U_M28 U_B30 U_B571 U_M131 U_B393 U_M935 U_M825 U_M659 U_B438 U_M75 U_B465 U_B716 U_B135 U_M195 U_B120 U_M412 U_B300 U_B259;
07:32:05.45;28;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B263 U_M860 U_B137 U_B269 U_B933 U_B875 U_M519 U_B294 U_M455 U_B93 U_M975 U_B90 U_B955 U_B991 U_M525 U_B366 U_M305 U_B646 U_M292 U_M306 U_B588 U_M54 U_B817 U_M901 U_M587 U_B160 U_M106 U_M322 U_B468 U_B227 U_B168 U_B260 U_M164 U_B941 U_B517 U_B280 U_M312 U_M930 U_M472 U_M903 U_M101 U_B479 U_B444 U_M416 U_M932 U_B64 U_B96 U_B374 U_M122 U_B911 U_B733 U_B764 U_M28 U_B30 U_B571 U_M131 U_B393 U_M935 U_M825 U_M659 U_B438 U_M75 U_B465 U_B716 U_B135 U_M195 U_B120 U_M412 U_B300 U_B259;
07:33:05.45;28;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B263 U_M860 U_B137 U_B269 U_B933 U_B875 U_M519 U_B294 U_M455 U_B93 U_M975 U_B90 U_B955 U_B991 U_M525 U_B366 U_M305 U_B646 U_M292 U_M306 U_B588 U_M54 U_B817 U_M901 U_M587 U_B160 U_M106 U_M322 U_B468 U_B227 U_B168 U_B260 U_M164 U_B941 U_B517 U_B280 U_M312 U_M930 U_M472 U_M903 U_M101 U_B479 U_B444 U_M416 U_M932 U_B64 U_B96 U_B374 U_M122 U_B911 U_B733 U_B764 U_M28 U_B30 U_B571 U_M131 U_B393 U_M935 U_M825 U_M659 U_B438 U_M75 U_B465 U_B716 U_B135 U_M195 U_B120 U_M412 U_B300 U_B259;
07:40:05.45;33;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_B757 U_B675 U_M191 U_B591 U_B362 U_M182 U_M854 U_M24 U_B974 U_B324 U_B937 U_B633 U_M429 U_B339 U_M441 U_B978 U_B290 U_M608 U_M7 U_B592 U_M3 U_B15 U_M88 U_B153 U_M467 U_B967 U_M615 U_B770 U_B756 U_B590 U_B182 U_M363 U_M417 U_B467 U_M735 U_M564 U_M585 U_B666 U_M137 U_M5 U_M779 U_M265 U_B511 U_M755 U_M742 U_B740 U_B784 U_B118 U_M581 U_B482 U_M917 U_M657 U_M965 U_M466 U_B466 U_M616 U_B108 U_M453 U_M38 U_M202 U_B252 U_M119 U_M400 U_B98 U_M331 U_B661 U_M207 U_M792 U_M595 U_M190;
07:41:05.45;33;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_B757 U_B675 U_M191 U_B591 U_B362 U_M182 U_M854 U_M24 U_B974 U_B324 U_B937 U_B633 U_M429 U_B339 U_M441 U_B978 U_B290 U_M608 U_M7 U_B592 U_M3 U_B15 U_M88 U_B153 U_M467 U_B967 U_M615 U_B770 U_B756 U_B590 U_B182 U_M363 U_M417 U_B467 U_M735 U_M564 U_M585 U_B666 U_M137 U_M5 U_M779 U_M265 U_B511 U_M755 U_M742 U_B740 U_B784 U_B118 U_M581 U_B482 U_M917 U_M657 U_M965 U_M466 U_B466 U_M616 U_B108 U_M453 U_M38 U_M202 U_B252 U_M119 U_M400 U_B98 U_M331 U_B661 U_M207 U_M792 U_M595 U_M190;
07:42:05.45;33;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_B757 U_B675 U_M191 U_B591 U_B362 U_M182 U_M854 U_M24 U_B974 U_B324 U_B937 U_B633 U_M429 U_B339 U_M441 U_B978 U_B290 U_M608 U_M7 U_B592 U_M3 U_B15 U_M88 U_B153 U_M467 U_B967 U_M615 U_B770 U_B756 U_B590 U_B182 U_M363 U_M417 U_B467 U_M735 U_M564 U_M585 U_B666 U_M137 U_M5 U_M779 U_M265 U_B511 U_M755 U_M742 U_B740 U_B784 U_B118 U_M581 U_B482 U_M917 U_M657 U_M965 U_M466 U_B466 U_M616 U_B108 U_M453 U_M38 U_M202 U_B252 U_M119 U_M400 U_B98 U_M331 U_B661 U_M207 U_M792 U_M595 U_M190;
07:43:05.45;33;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_B757 U_B675 U_M191 U_B591 U_B362 U_M182 U_M854 U_M24 U_B974 U_B324 U_B937 U_B633 U_M429 U_B339 U_M441 U_B978 U_B290 U_M608 U_M7 U_B592 U_M3 U_B15 U_M88 U_B153 U_M467 U_B967 U_M615 U_B770 U_B756 U_B590 U_B182 U_M363 U_M417 U_B467 U_M735 U_M564 U_M585 U_B666 U_M137 U_M5 U_M779 U_M265 U_B511 U_M755 U_M742 U_B740 U_B784 U_B118 U_M581 U_B482 U_M917 U_M657 U_M965 U_M466 U_B466 U_M616 U_B108 U_M453 U_M38 U_M202 U_B252 U_M119 U_M400 U_B98 U_M331 U_B661 U_M207 U_M792 U_M595 U_M190;
07:50:05.45;36;Tram;TRAM_S1 TRAM_S2;900.000 0.000;11.000;PICKUP;600.000;U_M562 U_M342 U_M876 U_M805 U_M83 U_M598 U_M16 U_M10 U_M724 U_M427 U_M138 U_M440 U_M508 U_M769 U_M246 U_M198 U_M836 U_M561 U_M364 U_M649 U_M856 U_M234 U_M611 U_M960 U_M902 U_M369 U_M586 U_M799 U_M144 U_M768 U_M772 U_M701 U_M723 U_M750 U_M170 U_M961 U_M135 U_M479 U_M938 U_M339 U_M731 U_M40 U_M454 U_M432 U_M61 U_M911 U_M545 U_M580 U_M185 U_M887 U_M633 U_M743 U_M748 U_M174 U_M600 U_M997 U_M664 U_M634 U_M447 U_M102 U_M424 U_M302 U_M418 U_M783 U_M981 U_M32 U_M754 U_M193 U_M709 U_M160;
07:51:05.45;36;Tram;TRAM_S2 TRAM_S3;1502.073 0.173;11.000;PICKUP;1200.000;U_M562 U_M342 U_M876 U_M805 U_M83 U_M598 U_M16 U_M10 U_M724 U_M427 U_M138 U_M440 U_M508 U_M769 U_M246 U_M198 U_M836 U_M561 U_M364 U_M649 U_M856 U_M234 U_M611 U_M960 U_M902 U_M369 U_M586 U_M799 U_M144 U_M768 U_M772 U_M701 U_M723 U_M750 U_M170 U_M961 U_M135 U_M479 U_M938 U_M339 U_M731 U_M40 U_M454 U_M432 U_M61 U_M911 U_M545 U_M580 U_M185 U_M887 U_M633 U_M743 U_M748 U_M174 U_M600 U_M997 U_M664 U_M634 U_M447 U_M102 U_M424 U_M302 U_M418 U_M783 U_M981 U_M32 U_M754 U_M193 U_M709 U_M160;
07:52:05.45;36;Tram;TRAM_S3 TRAM_S4;2102.073 49.827;11.000;PICKUP;1800.000;U_M562 U_M342 U_M876 U_M805 U_M83 U_M598 U_M16 U_M10 U_M724 U_M427 U_M138 U_M440 U_M508 U_M769 U_M246 U_M198 U_M836 U_M561 U_M364 U_M649 U_M856 U_M234 U_M611 U_M960 U_M902 U_M369 U_M586 U_M799 U_M144 U_M768 U_M772 U_M701 U_M723 U_M750 U_M170 U_M961 U_M135 U_M479 U_M938 U_M339 U_M731 U_M40 U_M454 U_M432 U_M61 U_M911 U_M545 U_M580 U_M185 U_M887 U_M633 U_M743 U_M748 U_M174 U_M600 U_M997 U_M664 U_M634 U_M447 U_M102 U_M424 U_M302 U_M418 U_M783 U_M981 U_M32 U_M754 U_M193 U_M709 U_M160;
07:53:05.45;36;Tram;TRAM_S3 TRAM_S4;2700.000 0.000;11.000;PICKUP;2400.000;U_M562 U_M342 U_M876 U_M805 U_M83 U_M598 U_M16 U_M10 U_M724 U_M427 U_M138 U_M440 U_M508 U_M769 U_M246 U_M198 U_M836 U_M561 U_M364 U_M649 U_M856 U_M234 U_M611 U_M960 U_M902 U_M369 U_M586 U_M799 U_M144 U_M768 U_M772 U_M701 U_M723 U_M750 U_M170 U_M961 U_M135 U_M479 U_M938 U_M339 U_M731 U_M40 U_M454 U_M432 U_M61 U_M911 U_M545 U_M580 U_M185 U_M887 U_M633 U_M743 U_M748 U_M174 U_M600 U_M997 U_M664 U_M634 U_M447 U_M102 U_M424 U_M302 U_M418 U_M783 U_M981 U_M32 U_M754 U_M193 U_M709 U_M160;
