TIME;ID;TYPE;LINK;POSITION;SPEED;STATE;DISTANCE;PASSENGERS;TRAVELED_NODES
06:50:00.00;1;Bus;BUSA_S2 BUSA_S3;2010.311 42.526;8.500;PICKUP;1710.000;U_B196;
06:50:00.00;3;Bus;BUSB_S3 BUSB_S7;2610.000 50.000;8.500;REPOSITIONING;2310.000;;
06:50:49.41;1;Bus;BUSA_S3 BUSA_S4;2102.073 49.827;8.500;PICKUP;1800.000;U_B196;
06:50:49.41;3;Bus;BUSB_S3 BUSB_S7;2700.000 50.000;8.500;REPOSITIONING;2400.000;;
06:52:00.00;1;Bus;BUSA_S3 BUSA_S4;2610.311 7.474;8.500;PICKUP;2310.000;U_B196;
06:52:49.41;1;Bus;BUSA_S3 BUSA_S4;2700.000 0.000;8.500;PICKUP;2400.000;U_B196;
07:01:00.00;11;Bus;BUSA_SO BUSA_S1;810.000 0.000;8.500;REPOSITIONING;510.000;;
07:01:00.00;12;Bus;BUSB_S5 BUSB_S6;810.000 50.000;8.500;REPOSITIONING;510.000;;
07:01:49.41;11;Bus;BUSA_S1 BUSA_S2;900.000 0.000;8.500;REPOSITIONING;600.000;;
07:01:14.12;12;Bus;BUSB_S6 BUSB_S3;1200.000 50.000;8.500;REPOSITIONING;900.000;;
07:03:00.00;11;Bus;BUSA_S1 BUSA_S2;1410.000 0.000;8.500;REPOSITIONING;1110.000;;
07:03:00.00;12;Bus;BUSB_S6 BUSB_S3;1710.000 50.000;8.500;REPOSITIONING;1410.000;;
07:03:49.41;11;Bus;BUSA_S2 BUSA_S3;1502.073 0.173;8.500;REPOSITIONING;1200.000;;
07:03:14.12;12;Bus;BUSB_S3 BUSB_S7;2100.000 50.000;8.500;REPOSITIONING;1800.000;;
07:05:00.00;11;Bus;BUSA_S2 BUSA_S3;2010.311 42.526;8.500;REPOSITIONING;1710.000;;
07:05:00.00;12;Bus;BUSB_S3 BUSB_S7;2610.000 50.000;8.500;REPOSITIONING;2310.000;;
07:05:49.41;11;Bus;BUSA_S3 BUSA_S4;2102.073 49.827;8.500;REPOSITIONING;1800.000;;
07:05:49.41;12;Bus;BUSB_S3 BUSB_S7;2700.000 50.000;8.500;REPOSITIONING;2400.000;;
07:07:00.00;11;Bus;BUSA_S3 BUSA_S4;2610.311 7.474;8.500;REPOSITIONING;2310.000;;
07:07:49.41;11;Bus;BUSA_S3 BUSA_S4;2700.000 0.000;8.500;REPOSITIONING;2400.000;;
07:16:00.00;17;Bus;BUSA_SO BUSA_S1;810.000 0.000;8.500;PICKUP;510.000;U_B298 U_B88 U_B547 U_B255 U_B241 U_B205 U_B341 U_B149 U_B597 U_B285 U_B511 U_B93 U_B343 U_B474 U_B209 U_B218 U_B441 U_B325 U_B411 U_B422 U_B336 U_B379 U_B596 U_B265 U_B457 U_B137 U_B237 U_B595 U_B477 U_B7;
07:16:00.00;18;Bus;BUSB_S5 BUSB_S6;810.000 50.000;8.500;REPOSITIONING;510.000;;
07:16:49.41;17;Bus;BUSA_S1 BUSA_S2;900.000 0.000;8.500;PICKUP;600.000;U_B298 U_B88 U_B547 U_B255 U_B241 U_B205 U_B341 U_B149 U_B597 U_B285 U_B511 U_B93 U_B343 U_B474 U_B209 U_B218 U_B441 U_B325 U_B411 U_B422 U_B336 U_B379 U_B596 U_B265 U_B457 U_B137 U_B237 U_B595 U_B477 U_B7;
07:16:14.12;18;Bus;BUSB_S6 BUSB_S3;1200.000 50.000;8.500;REPOSITIONING;900.000;;
07:18:00.00;17;Bus;BUSA_S1 BUSA_S2;1410.000 0.000;8.500;PICKUP;1110.000;U_B298 U_B88 U_B547 U_B255 U_B241 U_B205 U_B341 U_B149 U_B597 U_B285 U_B511 U_B93 U_B343 U_B474 U_B209 U_B218 U_B441 U_B325 U_B411 U_B422 U_B336 U_B379 U_B596 U_B265 U_B457 U_B137 U_B237 U_B595 U_B477 U_B7;
07:18:00.00;18;Bus;BUSB_S6 BUSB_S3;1710.000 50.000;8.500;REPOSITIONING;1410.000;;
07:18:49.41;17;Bus;BUSA_S2 BUSA_S3;1502.073 0.173;8.500;PICKUP;1200.000;U_B298 U_B88 U_B547 U_B255 U_B241 U_B205 U_B341 U_B149 U_B597 U_B285 U_B511 U_B93 U_B343 U_B474 U_B209 U_B218 U_B441 U_B325 U_B411 U_B422 U_B336 U_B379 U_B596 U_B265 U_B457 U_B137 U_B237 U_B595 U_B477 U_B7;
07:18:14.12;18;Bus;BUSB_S3 BUSB_S7;2100.000 50.000;8.500;REPOSITIONING;1800.000;;
07:20:00.00;17;Bus;BUSA_S2 BUSA_S3;2010.311 42.526;8.500;PICKUP;1710.000;U_B298 U_B88 U_B547 U_B255 U_B241 U_B205 U_B341 U_B149 U_B597 U_B285 U_B511 U_B93 U_B343 U_B474 U_B209 U_B218 U_B441 U_B325 U_B411 U_B422 U_B336 U_B379 U_B596 U_B265 U_B457 U_B137 U_B237 U_B595 U_B477 U_B7;
