TIMESTAMP,VEHICLE ID,PASSENGERS,CAPACITY,CONGESTION INDEX,NODE
06:31:00.00,0,0,30,0.0,BUSA_SO
06:31:00.00,2,0,30,0.0,BUSB_S5
06:31:00.00,4,0,150,0.0,METRO_SO
06:31:00.00,6,0,70,0.0,TRAM_S1
06:32:00.00,0,0,30,0.0,BUSA_S1
06:32:00.00,2,0,30,0.0,BUSB_S6
06:32:00.00,4,0,150,0.0,METRO_S2
06:32:00.00,6,0,70,0.0,TRAM_S2
06:33:00.00,0,0,30,0.0,BUSA_S1
06:33:00.00,2,0,30,0.0,BUSB_S6
06:33:00.00,4,0,150,0.0,METRO_S2
06:33:00.00,6,0,70,0.0,TRAM_S3
06:34:00.00,0,0,30,0.0,BUSA_S2
06:34:00.00,2,0,30,0.0,BUSB_S3
06:34:00.00,4,0,150,0.0,METRO_S4
06:34:00.00,6,0,70,0.0,TRAM_S4
06:35:00.00,0,0,30,0.0,BUSA_S2
06:35:00.00,2,0,30,0.0,BUSB_S3
06:36:00.00,0,0,30,0.0,BUSA_S3
06:36:00.00,2,0,30,0.0,BUSB_S7
06:36:00.00,5,4,150,0.02666666666666667,METRO_SO
06:37:00.00,0,0,30,0.0,BUSA_S3
06:37:00.00,5,4,150,0.02666666666666667,METRO_S2
06:38:00.00,0,0,30,0.0,BUSA_S4
06:38:00.00,5,4,150,0.02666666666666667,METRO_S2
06:39:00.00,5,4,150,0.02666666666666667,METRO_S4
06:41:00.00,7,11,70,0.15714285714285714,TRAM_S1
06:41:00.00,8,19,150,0.12666666666666668,METRO_SO
06:42:00.00,7,11,70,0.15714285714285714,TRAM_S2
06:42:00.00,8,19,150,0.12666666666666668,METRO_S2
06:43:00.00,7,11,70,0.15714285714285714,TRAM_S3
06:43:00.00,8,19,150,0.12666666666666668,METRO_S2
06:44:00.00,7,11,70,0.15714285714285714,TRAM_S4
06:44:00.00,8,19,150,0.12666666666666668,METRO_S4
06:46:00.00,1,1,30,0.03333333333333333,BUSA_SO
06:46:00.00,3,0,30,0.0,BUSB_S5
06:46:00.00,9,50,150,0.3333333333333333,METRO_SO
06:47:00.00,1,1,30,0.03333333333333333,BUSA_S1
06:47:00.00,3,0,30,0.0,BUSB_S6
06:47:00.00,9,50,150,0.3333333333333333,METRO_S2
06:48:00.00,1,1,30,0.03333333333333333,BUSA_S1
06:48:00.00,3,0,30,0.0,BUSB_S6
06:48:00.00,9,50,150,0.3333333333333333,METRO_S2
06:49:00.00,1,1,30,0.03333333333333333,BUSA_S2
06:49:00.00,3,0,30,0.0,BUSB_S3
06:49:00.00,9,50,150,0.3333333333333333,METRO_S4
06:50:00.00,1,1,30,0.03333333333333333,BUSA_S2
06:50:00.00,3,0,30,0.0,BUSB_S3
06:51:00.00,1,1,30,0.03333333333333333,BUSA_S3
06:51:00.00,3,0,30,0.0,BUSB_S7
06:51:00.00,10,61,70,0.8714285714285714,TRAM_S1
06:51:00.00,13,113,150,0.7533333333333333,METRO_SO
06:52:00.00,1,1,30,0.03333333333333333,BUSA_S3
06:52:00.00,10,61,70,0.8714285714285714,TRAM_S2
06:52:00.00,13,113,150,0.7533333333333333,METRO_S2
06:53:00.00,1,1,30,0.03333333333333333,BUSA_S4
06:53:00.00,10,61,70,0.8714285714285714,TRAM_S3
06:53:00.00,13,113,150,0.7533333333333333,METRO_S2
06:54:00.00,10,61,70,0.8714285714285714,TRAM_S4
06:54:00.00,13,113,150,0.7533333333333333,METRO_S4
06:56:00.00,14,150,150,1.0,METRO_SO
06:57:00.00,14,150,150,1.0,METRO_S2
06:58:00.00,14,150,150,1.0,METRO_S2
06:59:00.00,14,150,150,1.0,METRO_S4
07:01:00.00,11,0,30,0.0,BUSA_SO
07:01:00.00,12,0,30,0.0,BUSB_S5
07:01:00.00,15,70,70,1.0,TRAM_S1
07:01:00.00,16,150,150,1.0,METRO_SO
07:02:00.00,11,0,30,0.0,BUSA_S1
07:02:00.00,12,0,30,0.0,BUSB_S6
07:02:00.00,15,70,70,1.0,TRAM_S2
07:02:00.00,16,150,150,1.0,METRO_S2
07:03:00.00,11,0,30,0.0,BUSA_S1
07:03:00.00,12,0,30,0.0,BUSB_S6
07:03:00.00,15,70,70,1.0,TRAM_S3
07:03:00.00,16,150,150,1.0,METRO_S2
07:04:00.00,11,0,30,0.0,BUSA_S2
07:04:00.00,12,0,30,0.0,BUSB_S3
07:04:00.00,15,70,70,1.0,TRAM_S4
07:04:00.00,16,150,150,1.0,METRO_S4
07:05:00.00,11,0,30,0.0,BUSA_S2
07:05:00.00,12,0,30,0.0,BUSB_S3
07:06:00.00,11,0,30,0.0,BUSA_S3
07:06:00.00,12,0,30,0.0,BUSB_S7
07:06:00.00,19,150,150,1.0,METRO_SO
07:07:00.00,11,0,30,0.0,BUSA_S3
07:07:00.00,19,150,150,1.0,METRO_S2
07:08:00.00,11,0,30,0.0,BUSA_S4
07:08:00.00,19,150,150,1.0,METRO_S2
07:09:00.00,19,150,150,1.0,METRO_S4
07:11:00.00,20,70,70,1.0,TRAM_S1
07:11:00.00,21,150,150,1.0,METRO_SO
07:12:00.00,20,70,70,1.0,TRAM_S2
07:12:00.00,21,150,150,1.0,METRO_S2
07:13:00.00,20,70,70,1.0,TRAM_S3
07:13:00.00,21,150,150,1.0,METRO_S2
07:14:00.00,20,70,70,1.0,TRAM_S4
07:14:00.00,21,150,150,1.0,METRO_S4
07:16:00.00,17,30,30,1.0,BUSA_SO
07:16:00.00,18,0,30,0.0,BUSB_S5
07:16:00.00,22,150,150,1.0,METRO_SO
07:17:00.00,17,30,30,1.0,BUSA_S1
07:17:00.00,18,0,30,0.0,BUSB_S6
07:17:00.00,22,150,150,1.0,METRO_S2
07:18:00.00,17,30,30,1.0,BUSA_S1
07:18:00.00,18,0,30,0.0,BUSB_S6
